,ID,first_name,last_name,gender,birth,party,profession,education
932,286,Reza,Javid,M,1963-03-24T00:00:00,Ø,Byråds- eller regionsrådsmedlem,Kandidat-/masteruddannelse
933,55,Allan Bilgaard,Beier,M,1981-06-10T00:00:00,C,Offentligt ansat,Bachelor-/diplomuddannelse
934,530,Thomas,Elong,M,1976-10-17T00:00:00,V,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
935,278,Sinem,Demir,F,1992-04-11T00:00:00,Ø,Privat ansat/selvstændig,Erhvervsuddannelse
936,1108,Henrik,Husted,M,1964-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
937,357,Jonas Urth,Jensen,M,2000-05-15T00:00:00,I,Studerende,Gymnasial uddannelse
938,935,Gert,Dyrn,M,1968-01-01T00:00:00,K,Ikke oplyst,Ikke oplyst
939,788,Nikoline,Prehn,F,2002-04-05T00:00:00,A,Studerende,Bachelor-/diplomuddannelse
940,1050,Ayan,Farah,F,1991-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
941,884,Runa Friis,Hansen,F,1984-08-27T00:00:00,Ø,Byråds- eller regionsrådsmedlem,Bachelor-/diplomuddannelse
942,471,Kim,Errebo,M,1975-01-29T00:00:00,O,Offentligt ansat,Bachelor-/diplomuddannelse
943,957,Christian,Wibholm,M,1967-10-23T00:00:00,Æ,Privat ansat/selvstændig,Erhvervsuddannelse
944,826,Barbara Krarup,Hansen,F,1974-01-01T00:00:00,A,Ikke oplyst,Ikke oplyst
945,856,Stefan,Rundstrøm,M,1999-04-27T00:00:00,Ø,Studerende,Bachelor-/diplomuddannelse
946,347,Joanne,Bywater,F,1980-06-06T00:00:00,I,Privat ansat/selvstændig,Kandidat-/masteruddannelse
947,1066,Jacob,Stryhn,M,1970-10-03T00:00:00,C,Privat ansat/selvstændig,Erhvervsuddannelse
948,1005,Thor Clasen,Jonasen,M,1975-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
949,914,Anne-Marie,Jørgensen,F,1969-12-11T00:00:00,K,Offentligt ansat,Bachelor-/diplomuddannelse
950,612,Monika,Rubin,F,1987-12-20T00:00:00,M,Offentligt ansat,Kandidat-/masteruddannelse
951,1076,Rita Rahbek,Russell,F,1952-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
952,746,Morten,Klessen,M,1969-04-09T00:00:00,A,Privat ansat/selvstændig,Seminaruddannelse
