,ID,first_name,last_name,gender,birth,party,profession,education
308,139-rasmus-dahlberg,Rasmus,Dahlberg,M,1977-01-29T00:00:00,C,Offentligt ansat,Ph.d.-uddannelse
309,664-lars-henriksen,Lars,Oskan-Henriksen,M,1970-12-23T00:00:00,Q,Privat ansat/selvstændig,Kandidat-/masteruddannelse
310,426-signe-munk,Signe,Munk,F,1990-03-10T00:00:00,F,Folketingsmedlem,Bachelor-/diplomuddannelse
311,266-susan-kronborg,Susan,Kronborg,F,1968-07-05T00:00:00,B,Folketingsmedlem,Kandidat-/masteruddannelse
312,986-aqeel-akhtar,Aqeel,Akhtar,M,1991-09-19T00:00:00,Q,Privat ansat/selvstændig,Gymnasial uddannelse
313,514-kim-valentin,Kim,Valentin,M,1963-03-19T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
314,391-anne-valentina-berthelsen,Anne Valentina,Berthelsen,F,1994-09-16T00:00:00,F,Folketingsmedlem,Bachelor-/diplomuddannelse
315,1047-karen-margrethe-lysholm,Karen-Margrethe,Lysholm,F,1972-03-27T00:00:00,K,Offentligt ansat,Seminaruddannelse
316,848-emil-samaras,Emil,Samaras,M,1998-03-14T00:00:00,Ø,Udenfor arbejdsmarkedet,Bachelor-/diplomuddannelse
317,987-sazan-garmiyani,Sazan,Garmiyani,F,1993-07-19T00:00:00,Q,Offentligt ansat,Bachelor-/diplomuddannelse
318,1123-linda-froelund-hansen,Linda Frølund,Hansen,F,1975-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
319,93-britt-bager,Britt,Bager,F,1976-08-16T00:00:00,C,Folketingsmedlem,Kandidat-/masteruddannelse
320,596-joergen-kjoeller,Jørgen,Kjøller,M,1957-06-13T00:00:00,M,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
321,129-gitte-willumsen,Gitte,Willumsen,F,1967-02-12T00:00:00,C,Folketingsmedlem,Seminaruddannelse
322,723-ulrik-knudsen,Ulrik,Knudsen,M,1978-10-12T00:00:00,Æ,Privat ansat/selvstændig,Kandidat-/masteruddannelse
323,581-benjamin-lindberg,Benjamin,Lindberg,M,1977-09-12T00:00:00,M,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
324,502-bo-sandroos,Bo,Sandroos,M,1965-10-01T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
325,835-dorthe-wildt-jensen,Dorthe Wildt,Nielsen,F,1966-05-20T00:00:00,I,Offentligt ansat,Kandidat-/masteruddannelse
326,473-brian-bruun,Brian,Bruun,M,1972-10-06T00:00:00,O,Privat ansat/selvstændig,Erhvervsuddannelse
327,1109-henrik-vendelbo-petersen,Henrik Vendelbo,Petersen,M,1964-01-01T00:00:00,,Ikke oplyst,Ikke oplyst
328,260-rune-christiansen,Rune,Christiansen,M,1977-08-20T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
329,295-nikolaj-vester,Nikolaj,Vester,M,1996-05-31T00:00:00,I,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
330,35-ulla-munksgaard,Ulla,Munksgaard,F,1953-04-01T00:00:00,Å,Udenfor arbejdsmarkedet,Kandidat-/masteruddannelse
331,558-ib-bjerregaard,Ib,Bjerregaard,M,1960-07-14T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
332,196-claus-bruncke,Claus,Bruncke,M,1955-04-28T00:00:00,D,Udenfor arbejdsmarkedet,Gymnasial uddannelse
333,342-ole-birk-olesen,Ole Birk,Olesen,M,1972-12-21T00:00:00,I,Folketingsmedlem,Bachelor-/diplomuddannelse
334,787-peder-kempf-pedersen,Peter Kempf,Pedersen,M,1956-01-01T00:00:00,A,Ikke oplyst,Ikke oplyst
335,588-ewan-onell,Ewan,O'Nell,M,1962-01-01T00:00:00,M,Ikke oplyst,Ikke oplyst
336,885-bruno-jerup,Bruno,Jerup,M,1957-09-29T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
337,235-kashif-ahmad,Kashif,Ahmad,M,1980-06-01T00:00:00,B,Ikke oplyst,Ikke oplyst
338,630-anders-vistisen,Anders,Vistisen,M,1987-11-12T00:00:00,O,Privat ansat/selvstændig,Kandidat-/masteruddannelse
